tattoo,date,count
85868,2019-04-05,190
83438,2019-04-05,191
83848,2019-04-05,200
69068,2019-04-05,198
74776,2019-04-05,215
65358,2019-04-05,195
83438,2019-04-05,70
77778,2019-04-05,90
47958,2019-04-05,87
50578,2019-04-05,185
49228,2019-04-05,198
81018,2019-04-05,185
59598,2019-04-05,170
83438,2019-04-05,130
89548,2019-04-05,200
80628,2019-04-05,200
84328,2019-04-05,200
84328,2019-04-05,200
82518,2019-04-05,195
84328,2019-04-05,200
84558,2019-04-05,179
86338,2019-04-05,105
82928,2019-04-05,197
84328,2019-04-05,198
89728,2019-04-05,195
48048,2019-04-05,200
83438,2019-04-05,64
80838,2019-04-05,187
80838,2019-04-05,90
83438,2019-04-05,196
81418,2019-04-05,200
38058,2019-04-05,170
86358,2019-04-05,200
76148,2019-04-05,157
55114,2019-04-05,27
30064,2019-04-05,57
30084,2019-04-05,39
30004,2019-04-05,100
84928,2019-04-05,127
84978,2019-04-05,60
87568,2019-04-05,106
84338,2019-04-05,50
84328,2019-04-05,47
82018,2019-04-08,203
82018,2019-04-08,198
82018,2019-04-08,201
82018,2019-04-08,199
70558,2019-04-08,205
70558,2019-04-08,205
86338,2019-04-08,194
86338,2019-04-08,76
86348,2019-04-08,119
70558,2019-04-08,207
81028,2019-04-08,195
81028,2019-04-08,193
81028,2019-04-08,193
76318,2019-04-08,182
85758,2019-04-08,105
85708,2019-04-08,91
47958,2019-04-08,86
77778,2019-04-08,90
83848,2019-04-08,201
65358,2019-04-08,195
50578,2019-04-08,185
82018,2019-04-08,105
51518,2019-04-08,187
82518,2019-04-08,190
84448,2019-04-08,143
84548,2019-04-08,38
82518,2019-04-08,190
30534,2019-04-08,200
76318,2019-04-08,180
82928,2019-04-08,195
85708,2019-04-08,172
85758,2019-04-08,16
85708,2019-04-08,57
85758,2019-04-08,138
85708,2019-04-08,137
85758,2019-04-08,58
81028,2019-04-08,76
86348,2019-04-08,119
67268,2019-04-08,180
82018,2019-04-08,95
82018,2019-04-08,198
66174,2019-04-08,42
66184,2019-04-08,163
66174,2019-04-08,64
66194,2019-04-08,110
66104,2019-04-08,29
70578,2019-04-08,29
70568,2019-04-08,171
25168,2019-04-08,195
82028,2019-04-08,43
82018,2019-04-08,157
20568,2019-04-08,154
25718,2019-04-08,54
86928,2019-04-08,195
67268,2019-04-09,177
82968,2019-04-09,193
70558,2019-04-09,204
86528,2019-04-09,56
86568,2019-04-09,144
82928,2019-04-09,103
82968,2019-04-09,92
86528,2019-04-09,152
86568,2019-04-09,48
80128,2019-04-09,194
80028,2019-04-09,198
84168,2019-04-09,200
25168,2019-04-09,195
77778,2019-04-09,88
71148,2019-04-09,105
27718,2019-04-09,160
63058,2019-04-09,89
69068,2019-04-09,201
85418,2019-04-09,50
88928,2019-04-09,36
88288,2019-04-09,5
88298,2019-04-09,5
88308,2019-04-09,5
88318,2019-04-09,4
88328,2019-04-09,3
88338,2019-04-09,5
88348,2019-04-09,4
88358,2019-04-09,5
88368,2019-04-09,5
88378,2019-04-09,5
88388,2019-04-09,5
88398,2019-04-09,4
88408,2019-04-09,5
88418,2019-04-09,5
88428,2019-04-09,5
88438,2019-04-09,4
88448,2019-04-09,4
88458,2019-04-09,4
88468,2019-04-09,3
88478,2019-04-09,3
88488,2019-04-09,5
88498,2019-04-09,5
88508,2019-04-09,5
88518,2019-04-09,5
81018,2019-04-09,179
25718,2019-04-09,179
20808,2019-04-09,31
59598,2019-04-09,174
83438,2019-04-09,196
118,2019-04-09,173
38058,2019-04-09,30
53004,2019-04-09,60
82528,2019-04-09,195
88928,2019-04-09,180
81028,2019-04-09,194
80318,2019-04-09,105
80368,2019-04-09,94
84448,2019-04-09,165
84548,2019-04-09,16
67268,2019-04-09,133
76148,2019-04-09,45
30534,2019-04-09,200
30084,2019-04-09,195
65358,2019-04-09,195
38058,2019-04-09,140
49228,2019-04-09,200
83438,2019-04-09,194
90508,2019-04-09,150
84168,2019-04-09,105
84268,2019-04-09,97
20808,2019-04-09,141
25718,2019-04-09,68
81028,2019-04-09,80
81078,2019-04-09,99
30094,2019-04-09,59
30004,2019-04-09,40
30074,2019-04-09,94
82968,2019-04-09,191
85528,2019-04-09,20
30084,2019-04-09,45
30074,2019-04-09,149
84928,2019-04-09,200
EXTRA,2019-04-09,5
83608,2019-04-10,200
83608,2019-04-10,201
83608,2019-04-10,100
30304,2019-04-10,199
30304,2019-04-10,196
85528,2019-04-10,80
86348,2019-04-10,192
48048,2019-04-10,201
76318,2019-04-10,191
